date,timestamp,open,high,low,close
2023-08-26 01:23:00,1692987780000,25969.49,25969.49,25962.0,25969.48
2023-08-26 01:24:00,1692987840000,25969.47,25972.89,25964.04,25964.04
2023-08-26 01:25:00,1692987900000,25964.04,25964.05,25948.0,25948.0
2023-08-26 01:26:00,1692987960000,25948.01,25960.0,25948.0,25959.05
2023-08-26 01:27:00,1692988020000,25959.05,25959.06,25950.0,25950.0
2023-08-26 01:28:00,1692988080000,25950.0,25972.0,25950.0,25971.99
2023-08-26 01:29:00,1692988140000,25971.99,25976.0,25971.99,25974.05
2023-08-26 01:30:00,1692988200000,25974.06,25976.66,25968.0,25968.0
2023-08-26 01:31:00,1692988260000,25968.0,25968.01,25965.0,25965.98
2023-08-26 01:32:00,1692988320000,25965.99,25995.0,25965.98,25992.51
2023-08-26 01:33:00,1692988380000,25992.5,26003.92,25984.01,25985.01
2023-08-26 01:34:00,1692988440000,25985.01,25995.99,25985.0,25995.99
2023-08-26 01:35:00,1692988500000,25995.99,25997.93,25992.01,25995.99
2023-08-26 01:36:00,1692988560000,25995.98,26002.0,25995.98,26002.0
2023-08-26 01:37:00,1692988620000,26001.99,26002.0,25986.0,25986.0
2023-08-26 01:38:00,1692988680000,25986.0,25989.19,25978.0,25979.94
2023-08-26 01:39:00,1692988740000,25979.93,25993.36,25978.0,25993.36
2023-08-26 01:40:00,1692988800000,25993.35,26004.0,25993.35,26002.49
2023-08-26 01:41:00,1692988860000,26002.49,26006.0,25992.01,26006.0
2023-08-26 01:42:00,1692988920000,26005.99,26006.0,25998.01,25998.01
2023-08-26 01:43:00,1692988980000,25998.01,25998.02,25992.0,25992.01
2023-08-26 01:44:00,1692989040000,25992.01,25999.33,25992.0,25997.98
2023-08-26 01:45:00,1692989100000,25997.98,26003.56,25995.0,25996.0
2023-08-26 01:46:00,1692989160000,25996.0,26005.0,25996.0,26004.99
2023-08-26 01:47:00,1692989220000,26005.0,26009.1,26004.99,26009.08
2023-08-26 01:48:00,1692989280000,26009.08,26014.0,26000.85,26010.0
2023-08-26 01:49:00,1692989340000,26010.01,26012.0,26005.0,26012.0
2023-08-26 01:50:00,1692989400000,26012.0,26024.11,26011.99,26016.0
2023-08-26 01:51:00,1692989460000,26016.0,26045.0,26015.99,26032.01
2023-08-26 01:52:00,1692989520000,26032.0,26036.0,26028.0,26030.48
2023-08-26 01:53:00,1692989580000,26030.47,26030.48,26020.17,26026.01
2023-08-26 01:54:00,1692989640000,26026.02,26056.33,26024.0,26054.0
2023-08-26 01:55:00,1692989700000,26054.01,26055.38,26044.0,26054.14
2023-08-26 01:56:00,1692989760000,26054.14,26054.15,26050.0,26050.02
2023-08-26 01:57:00,1692989820000,26050.01,26060.2,26050.0,26056.0
2023-08-26 01:58:00,1692989880000,26056.0,26066.62,26048.0,26051.23
2023-08-26 01:59:00,1692989940000,26051.23,26054.99,26046.0,26052.01
2023-08-26 02:00:00,1692990000000,26052.01,26060.0,26052.0,26056.07
